dte,openclose
01/01/2018,The Museum is open today from 10:30 AM until 4:30 PM
01/02/2018,The Museum is closed today
01/03/2018,The Museum is closed today
01/04/2018,The Museum is closed today
01/05/2018,The Museum is closed today
01/06/2018,The Museum is closed today
01/07/2018,The Museum is closed today
01/08/2018,The Museum is closed today
01/09/2018,The Museum is closed today
01/10/2018,The Museum is closed today
01/11/2018,The Museum is closed today
01/12/2018,The Museum is closed today
01/13/2018,The Museum is closed today
01/14/2018,The Museum is closed today
01/15/2018,The Museum is closed today
01/16/2018,The Museum is closed today
01/17/2018,The Museum is closed today
01/18/2018,The Museum is closed today
01/19/2018,The Museum is closed today
01/20/2018,The Museum is closed today
01/21/2018,The Museum is closed today
01/22/2018,The Museum is closed today
01/23/2018,The Museum is closed today
01/24/2018,The Museum is closed today
01/25/2018,The Museum is closed today
01/26/2018,The Museum is closed today
01/27/2018,The Museum is closed today
01/28/2018,The Museum is closed today
01/29/2018,The Museum is closed today
01/30/2018,The Museum is closed today
01/31/2018,The Museum is closed today
02/01/2018,The Museum is closed today
02/02/2018,The Museum is closed today
02/03/2018,The Museum is closed today
02/04/2018,The Museum is closed today
02/05/2018,The Museum is closed today
02/06/2018,The Museum is closed today
02/07/2018,The Museum is closed today
02/08/2018,The Museum is closed today
02/09/2018,The Museum is closed today
02/10/2018,The Museum is closed today
02/11/2018,The Museum is closed today
02/12/2018,The Museum is closed today
02/13/2018,The Museum is closed today
02/14/2018,The Museum is closed today
02/15/2018,The Museum is closed today
02/16/2018,The Museum is closed today
02/17/2018,The Museum is closed today
02/18/2018,The Museum is closed today
02/19/2018,The Museum is closed today
02/20/2018,The Museum is closed today
02/21/2018,The Museum is closed today
02/22/2018,The Museum is closed today
02/23/2018,The Museum is closed today
02/24/2018,The Museum is closed today
02/25/2018,The Museum is closed today
02/26/2018,The Museum is closed today
02/27/2018,The Museum is closed today
02/28/2018,The Museum is closed today
03/01/2018,The Museum is closed today
03/02/2018,The Museum is closed today
03/03/2018,The Museum is closed today
03/04/2018,The Museum is closed today
03/05/2018,The Museum is closed today
03/06/2018,The Museum is closed today
03/07/2018,The Museum is closed today
03/08/2018,The Museum is closed today
03/09/2018,The Museum is closed today
03/10/2018,The Museum is closed today
03/11/2018,The Museum is closed today
03/12/2018,The Museum is closed today
03/13/2018,The Museum is closed today
03/14/2018,The Museum is closed today
03/15/2018,The Museum is closed today
03/16/2018,The Museum is closed today
03/17/2018,The Museum is closed today
03/18/2018,The Museum is closed today
03/19/2018,The Museum is closed today
03/20/2018,The Museum is closed today
03/21/2018,The Museum is closed today
03/22/2018,The Museum is closed today
03/23/2018,The Museum is closed today
03/24/2018,The Museum is closed today
03/25/2018,The Museum is closed today
03/26/2018,The Museum is closed today
03/27/2018,The Museum is closed today
03/28/2018,The Museum is closed today
03/29/2018,The Museum is closed today
03/30/2018,The Museum is closed today
03/31/2018,The Museum is closed today
04/01/2018,The Museum is closed today
04/02/2018,The Museum is closed today
04/03/2018,The Museum is closed today
04/04/2018,The Museum is closed today
04/05/2018,The Museum is closed today
04/06/2018,The Museum is closed today
04/07/2018,The Museum is closed today
04/08/2018,The Museum is closed today
04/09/2018,The Museum is closed today
04/10/2018,The Museum is closed today
04/11/2018,The Museum is closed today
04/12/2018,The Museum is closed today
04/13/2018,The Museum is closed today
04/14/2018,The Museum is closed today
04/15/2018,The Museum is closed today
04/16/2018,The Museum is closed today
04/17/2018,The Museum is closed today
04/18/2018,The Museum is closed today
04/19/2018,The Museum is closed today
04/20/2018,The Museum is closed today
04/21/2018,The Museum is closed today
04/22/2018,The Museum is closed today
04/23/2018,The Museum is closed today
04/24/2018,The Museum is closed today
04/25/2018,The Museum is closed today
04/26/2018,The Museum is closed today
04/27/2018,The Museum is closed today
04/28/2018,The Museum is closed today
04/29/2018,The Museum is closed today
04/30/2018,The Museum is closed today
05/01/2018,The Museum is closed today
05/02/2018,The Museum is closed today
05/03/2018,The Museum is closed today
05/04/2018,The Museum is closed today
05/05/2018,The Museum is closed today
05/06/2018,The Museum is closed today
05/07/2018,The Museum is closed today
05/08/2018,The Museum is closed today
05/09/2018,The Museum is closed today
05/10/2018,The Museum is closed today
05/11/2018,The Museum is closed today
05/12/2018,The Museum is closed today
05/13/2018,The Museum is closed today
05/14/2018,The Museum is closed today
05/15/2018,The Museum is closed today
05/16/2018,The Museum is closed today
05/17/2018,The Museum is closed today
05/18/2018,The Museum is closed today
05/19/2018,The Museum is closed today
05/20/2018,The Museum is closed today
05/21/2018,The Museum is closed today
05/22/2018,The Museum is closed today
05/23/2018,The Museum is closed today
05/24/2018,The Museum is closed today
05/25/2018,The Museum is closed today
05/26/2018,The Museum is open today from 10:30 AM until 4:30 PM
