dte,openclose,eventName,eventTime
12/18/2017,The Museum is closed today,The Museum is closed today,
12/18/2017,,Tower Opening,1:00pm - 3:00pm
12/18/2017,,Jamestown Senior Tour,1:00pm - 2:30pm
12/19/2017,The Museum is closed today,The Museum is closed today,
12/20/2017,The Museum is closed today,The Museum is closed today,
12/20/2017,,Tower Opening,1:00pm - 3:00pm
12/20/2017,,Jamestown Senior Tour,1:00pm - 2:30pm
12/21/2017,The Museum is closed today,The Museum is closed today,
12/22/2017,The Museum is closed today,The Museum is closed today,
12/23/2017,The Museum is closed today,The Museum is closed today,
12/24/2017,The Museum is closed today,The Museum is closed today,
12/25/2017,The Museum is closed today,The Museum is closed today,
12/26/2017,The Museum is closed today,The Museum is closed today,
12/27/2017,The Museum is closed today,The Museum is closed today,
12/28/2017,The Museum is closed today,The Museum is closed today,
12/29/2017,The Museum is closed today,The Museum is closed today,
12/30/2017,The Museum is closed today,The Museum is closed today,
12/31/2017,The Museum is closed today,The Museum is closed today,
1/1/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open today,12:30pm - 4:30pm
1/1/2018,,The Gift Shop is open,1:00pm - 3:00pm
1/2/2018,The Museum is closed today,The Museum is closed today,
1/3/2018,The Museum is closed today,The Museum is closed today,
1/4/2018,The Museum is closed today,The Museum is closed today,
1/5/2018,The Museum is closed today,The Museum is closed today,
1/6/2018,The Museum is closed today,The Museum is closed today,
1/7/2018,The Museum is closed today,The Museum is closed today,
1/8/2018,The Museum is closed today,The Museum is closed today,
1/9/2018,The Museum is closed today,The Museum is closed today,
1/10/2018,The Museum is closed today,The Museum is closed today,
1/11/2018,The Museum is closed today,The Museum is closed today,
1/12/2018,The Museum is closed today,The Museum is closed today,
1/13/2018,The Museum is closed today,The Museum is closed today,
1/14/2018,The Museum is closed today,The Museum is closed today,
1/15/2018,The Museum is closed today,The Museum is closed today,
1/16/2018,The Museum is closed today,The Museum is closed today,
1/17/2018,The Museum is closed today,The Museum is closed today,
1/18/2018,The Museum is closed today,The Museum is closed today,
1/19/2018,The Museum is closed today,The Museum is closed today,
1/20/2018,The Museum is closed today,The Museum is closed today,
1/21/2018,The Museum is closed today,The Museum is closed today,
1/22/2018,The Museum is closed today,The Museum is closed today,12:30pm - 4:30pm
1/22/2018,,Tower Opening,1:00pm - 2:30pm
1/22/2018,,Jamestown Senior Tour,1:00pm - 2:30pm
1/23/2018,The Museum is closed today,The Museum is closed today,
1/23/2018,,BLMA Board Meeting,5:00pm - 6:30pm
1/24/2018,The Museum is closed today,The Museum is closed today,
1/25/2018,The Museum is closed today,The Museum is closed today,
1/26/2018,The Museum is closed today,The Museum is closed today,
1/27/2018,The Museum is closed today,The Museum is closed today,
